epoch,train_loss,validation_loss
1,0.578195,0.427666
2,0.439705,0.407892
3,0.42592,0.394583
4,0.412181,0.385498
5,0.403427,0.376851
6,0.392919,0.369649
7,0.385364,0.358882
8,0.37932,0.356215
9,0.376945,0.352318
10,0.371806,0.35255
11,0.369175,0.34151
12,0.363851,0.342835
13,0.363593,0.354061
14,0.363016,0.343249
15,0.3607,0.342999
16,0.358067,0.341168
17,0.357173,0.344145
18,0.354951,0.350276
19,0.353175,0.351974
20,0.350633,0.352683
21,0.348924,0.346682
22,0.348001,0.34087
23,0.345542,0.352057
24,0.344527,0.356579
25,0.343394,0.342968
26,0.343883,0.364554
27,0.341972,0.347023
28,0.340229,0.343639
29,0.338554,0.351392
30,0.338433,0.364238
31,0.337932,0.362216
32,0.335124,0.348984
